,index,movie_id,movie_name,genre,plot
6042,47056,tt0446013,Pathfinder La leggenda del guerriero vichingo,"action, adventure, drama",pathfinder la leggenda del guerriero vichingo viking boy left behind clan battles native american tribe raised within tribe ultimately becomes savior fight norsemen
6043,47058,tt0446029,Scott Pilgrim vs the World,"action, comedy, fantasy",scott pilgrim vs world scott pilgrim must defeat new girlfriends seven evil exes order win heart
6044,47060,tt0446046,Ti va di ballare,"drama, music",ti va di ballare real story dance teacher believed talent group problem kids
6045,47061,tt0446059,Fearless,"action, biography, drama",fearless biography chinese martial arts master huo yuanjia founder spiritual guru jin wu sports federation
6046,47068,tt0446298,Civic Duty,"drama, thriller",civic duty angry depressed losing job terry allen begins suspect new middle eastern neighbor center terrorist conspiracy obsessed revealing mans true identity takes matters hands
6047,47085,tt0446676,Deal Il Re del Poker,"comedy, drama, thriller",deal il del poker ex gambler teaches hot shot college kid things playing cards finds pulled world series poker prot g toughest competition
6048,47087,tt0446685,Drawing Restraint,fantasy,drawing restraint film concerns theme self imposed limitation continues matthew barneys interest religious rite time focusing shinto
6049,47088,tt0446687,In viaggio con Evie,"comedy, drama",viaggio con evie coming age story shy teenage boy trying escape influence domineering mother world changes begins work retired actress
6050,47093,tt0446747,Mutual Appreciation,comedy,mutual appreciation alan musician leaves busted band new york new musical voyage tries stay focused fends manner distractions including attraction good friends girlfriend
6051,47095,tt0446752,anni vergine,"drama, comedy",anni vergine young kid forced live lies told become popular
6052,47096,tt0446755,Il velo dipinto,"drama, romance",il velo dipinto british medical doctor fights cholera epidemic small chinese village trapped home loveless marriage unfaithful wife
6053,47128,tt0448011,Segnali dal futuro,"action, drama, mystery",segnali dal futuro professor john koestler links mysterious list numbers time capsule past future disasters sets prevent ultimate catastrophe
6054,47130,tt0448022,A Bird of the Air,"drama, romance",bird air man search past woman lives moment brought together pursue origins stray parrot comedic romantic drama
6055,47131,tt0448075,Una voce nella notte,"crime, drama, horror",una voce nella notte midst crumbling relationship radio show host begins speaking biggest fan young boy via telephone questions boys identity come hosts life thrown chaos
6056,47132,tt0448115,Shazam,"action, adventure, comedy",shazam newly fostered young boy search mother instead finds unexpected super powers soon gains powerful enemy
6057,47134,tt0448124,Snow Cake,"drama, romance",snow cake drama focused friendship high functioning autistic woman man traumatized fatal car accident
6058,47138,tt0448134,Sunshine,"sci-fi, thriller",sunshine team international astronauts sent dangerous mission reignite dying sun nuclear fission bomb
6059,47142,tt0448157,Hancock,"action, fantasy",hancock hancock superhero whose ill considered behavior regularly causes damage millions changes person saves helps improve public image
6060,47143,tt0448166,Two Weeks,"comedy, drama",two weeks bittersweet comedy four adult siblings gather dying mothers house north carolina expect quick last goodbye instead find trapped together two weeks
6061,47159,tt0448694,Il gatto con gli stivali,"animation, adventure, comedy",il gatto con gli stivali outlaw cat childhood egg friend seductive thief kitty set search eggs fabled golden goose clear name restore lost honor regain trust mother town
6062,47170,tt0449010,Eragon,"action, adventure, family",eragon homeland alagaesia farm boy happens upon dragons egg discovery leads predestined journey realizes hes one person defend home evil king
6063,47172,tt0449018,The Final Season,"drama, sport",final season kent stock disrupts life become coach norway high school baseball team try lead victory
6064,47174,tt0449059,Little Miss Sunshine,"comedy, drama",little miss sunshine family determined get young daughter finals beauty pageant take cross country trip vw bus
6065,47175,tt0449061,London,"drama, romance",london london drug laden adventure centers party new york loft young man trying win back ex girlfriend
6066,47178,tt0449086,Dominion Prequel to the Exorcist,"drama, horror, thriller",dominion prequel exorcist years father lankester merrin helped save regan macneils soul first encounters demon pazuzu east africa merrins initial battle pazuzu leads rediscovery faith
6067,47179,tt0449088,Pirati dei Caraibi Ai confini del mondo,"action, adventure, fantasy",pirati dei caraibi ai confini del mondo captain barbossa turner elizabeth swann must sail edge map navigate treachery betrayal find jack sparrow make final alliances one last decisive battle
6068,47180,tt0449089,Vita da camper,"adventure, comedy, family",vita da camper bob munro dysfunctional family rent rv road trip colorado rockies ultimately contend bizarre community campers
6069,47185,tt0449303,Kr ska v nesn z ch,"comedy, drama",kr ska v nesn z ch flood prague damaged marcela jardas home behaves boorishly sons asthma threatens divorce takes kids moms possessive woman whose
6070,47190,tt0449467,Babel,drama,babel tragedy strikes married couple vacation moroccan desert touching interlocking story involving four different families
